"Id","salePrice"
1461,103366.874923795
1462,159127.732158685
1463,170144.267327098
1464,188636.687641955
1465,220046.651292084
1466,183033.549690853
1467,176849.246477381
1468,176641.177721344
1469,210971.589708258
1470,101891.963885946
1471,210753.203981632
1472,119136.337419465
1473,106456.593853539
1474,165478.135991331
1475,145536.473976923
1476,329461.464414805
1477,266825.078510988
1478,297221.213364348
1479,288693.7192743
1480,386072.532039265
1481,303801.340111868
1482,235777.726608224
1483,192045.619554507
1484,196660.333876405
1485,185995.855084899
1486,215527.349696094
1487,311714.871276007
1488,268989.496148039
1489,204989.566654844
1490,204545.21484165
1491,211136.024159687
1492,95407.3487979489
1493,191718.261214792
1494,288478.433858941
1495,287242.931494875
1496,225598.154867639
1497,212538.451958019
1498,179281.731288404
1499,179577.471907863
1500,162124.196061522
1501,179049.302267517
1502,170051.562324456
1503,267907.765944052
1504,243289.38378033
1505,224518.364048139
1506,214387.043380008
1507,244335.544845541
1508,196361.102043468
1509,178428.324511646
1510,149597.177388488
1511,147600.714252347
1512,167110.192613526
1513,173249.705507457
1514,166836.838493992
1515,221239.618398254
1516,157158.882805372
1517,157648.067245547
1518,170178.975337111
1519,225816.805414415
1520,123961.27707392
1521,129429.850012045
1522,188582.646355899
1523,101824.253323072
1524,109067.513182573
1525,106855.485309958
1526,109941.221001111
1527,96098.595176246
1528,146623.997894821
1529,141255.637379942
1530,187846.4611655
1531,114619.076410782
1532,78854.6925434219
1533,154488.817758115
1534,144525.236696435
1535,157081.156134533
1536,115635.040698294
1537,42554.2094868476
1538,187061.682086547
1539,218595.854449615
1540,138160.448750406
1541,162507.014028887
1542,152233.894782397
1543,214172.978318958
1544,59725.1397719025
1545,116174.98696902
1546,136491.431526054
1547,123726.334542019
1548,139331.964387101
1549,111329.402845285
1550,133051.765588926
1551,125801.682984372
1552,137251.696393956
1553,140568.017231658
1554,135595.107964033
1555,157799.238830926
1556,98778.5326571545
1557,110780.846717089
1558,105138.235475825
1559,100254.210931606
1560,133757.916694831
1561,147571.81767521
1562,117983.537608341
1563,104833.986516157
1564,167523.159638489
1565,143557.618676457
1566,222593.694081574
1567,71477.8090893304
1568,207672.416756178
1569,100460.339072083
1570,135032.293257274
1571,119628.26628438
1572,136662.990985933
1573,237346.141208101
1574,146032.654996269
1575,218096.321727288
1576,224924.906695868
1577,205606.667605704
1578,145989.800479361
1579,141453.219035579
1580,211032.458909823
1581,131971.70325065
1582,122089.183691546
1583,300807.94570234
1584,237283.380982392
1585,156780.030219527
1586,38496.8509823137
1587,95570.8796064728
1588,133652.497872626
1589,98228.4123969196
1590,146724.562117462
1591,73972.9271697488
1592,128589.092790831
1593,124527.241226305
1594,131177.056522302
1595,118141.83257091
1596,226264.809700898
1597,188426.835221149
1598,201597.359870101
1599,203120.06017398
1600,210624.31521231
1601,4116.13160452771
1602,119587.875408078
